Designator,Footprint,,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C_0603_1608Metric,,178.435,-99.6442,,,,,B,0,10uF
C2,C_0603_1608Metric,,178.435,-101.1682,,,,,B,0,0.1uF
C3,C_0402_1005Metric,,175.07204,-86.50732,,,,,B,180,0.1uF
C4,C_0805_2012Metric,,177.0126,-107.6452,,,,,B,90,47uF
C5,C_0805_2012Metric,,179.0192,-107.6452,,,,,B,90,47uF
C6,C_0402_1005Metric,,173.5582,-104.9274,,,,,B,-90,0.012uF
C7,C_0402_1005Metric,,175.02272,-105.41,,,,,B,180,120pF
C8,C_0603_1608Metric,,178.4858,-82.7278,,,,,B,0,10uF
C9,C_0603_1608Metric,,178.4858,-84.2518,,,,,B,0,0.1uF
C11,C_0402_1005Metric,,173.609,-88.011,,,,,B,-90,0.012uF
C12,C_0402_1005Metric,,175.07352,-88.4936,,,,,B,180,120pF
C13,C_0805_2012Metric,,179.07,-90.7288,,,,,B,90,47uF
C14,C_0805_2012Metric,,177.0634,-90.7288,,,,,B,90,47uF
C15,C_0603_1608Metric,,175.52924,-120.34544,,,,,B,90,10uF
C16,C_0603_1608Metric,,174.00524,-120.34544,,,,,B,90,10uF
C17,C_0603_1608Metric,,177.85304,-121.08664,,,,,B,0,22uF
C18,C_0603_1608Metric,,177.85304,-123.59664,,,,,B,0,22uF
C19,C_0603_1608Metric,,175.50384,-124.34624,,,,,B,-90,10uF
C20,C_0603_1608Metric,,173.97064,-124.34624,,,,,B,-90,10uF
C66,CP_Elec_6.3x5.4,,163.52622,-130.17124,,,,,B,-90,270uF
C67,CP_Elec_6.3x5.4,,156.21,-79.7052,,,,,B,-90,270uF
C68,CP_Elec_6.3x5.4,,170.91762,-96.54124,,,,,B,-90,270uF
C69,CP_Elec_6.3x5.4,,148.8694,-79.7052,,,,,B,-90,270uF
C70,CP_Elec_6.3x5.4,,170.91762,-130.19664,,,,,B,-90,270uF
C71,CP_Elec_6.3x5.4,,148.87042,-96.54124,,,,,B,-90,270uF
C72,CP_Elec_6.3x5.4,,163.55162,-96.522916,,,,,B,-90,270uF
C73,CP_Elec_6.3x5.4,,156.21102,-96.54124,,,,,B,-90,270uF
C98,CP_Elec_6.3x5.3,,170.91762,-113.38164,,,,,B,-90,22uF
C99,CP_Elec_6.3x5.3,,148.84502,-113.38164,,,,,B,-90,22uF
C100,CP_Elec_6.3x5.3,,170.9166,-79.7052,,,,,B,-90,22uF
C101,CP_Elec_6.3x5.3,,156.21102,-113.38164,,,,,B,-90,22uF
C102,CP_Elec_6.3x5.3,,163.55162,-113.38164,,,,,B,-90,22uF
C103,CP_Elec_6.3x5.3,,156.18562,-130.19664,,,,,B,-90,22uF
C104,CP_Elec_6.3x5.3,,163.5506,-79.686876,,,,,B,-90,22uF
C105,CP_Elec_6.3x5.3,,148.84502,-130.19664,,,,,B,-90,22uF
C114,C_0402_1005Metric,,136.5199,-79.89972,,,,,B,-90,10nF
C115,C_0402_1005Metric,,137.7899,-79.9084,,,,,B,-90,10nF
C116,C_0402_1005Metric,,140.3299,-79.9084,,,,,B,-90,10nF
C117,C_0402_1005Metric,,141.5999,-79.9084,,,,,B,-90,10nF
C118,C_0402_1005Metric,,136.525,-113.5152,,,,,B,-90,10nF
C119,C_0402_1005Metric,,137.795,-113.5152,,,,,B,-90,10nF
C120,C_0402_1005Metric,,140.335,-113.5152,,,,,B,-90,10nF
C121,C_0402_1005Metric,,141.605,-113.5152,,,,,B,-90,10nF
C122,C_0402_1005Metric,,136.5199,-130.36952,,,,,B,-90,10nF
C123,C_0402_1005Metric,,137.7899,-130.3808,,,,,B,-90,10nF
C124,C_0402_1005Metric,,140.3299,-130.3808,,,,,B,-90,10nF
C125,C_0402_1005Metric,,141.605,-130.3808,,,,,B,-90,10nF
C126,C_0402_1005Metric,,136.5199,-96.6698,,,,,B,-90,10nF
C127,C_0402_1005Metric,,137.7899,-96.6698,,,,,B,-90,10nF
C128,C_0402_1005Metric,,140.3299,-96.6698,,,,,B,-90,10nF
C129,C_0402_1005Metric,,141.5999,-96.6698,,,,,B,-90,10nF
C133,C_0402_1005Metric,,175.02272,-103.4288,,,,,B,180,0.1uF
J1,USB B 母座 直立,,114.80768,-70.7009,,,,,B,180,USB 3.1 B
J2,PinSocket_1x02_P1.27mm_Vertical,,146.800334,-71.506782,,,,,B,0,SWITCH
J3,DC socket 5.5mm,,126.72822,-72.47382,,,,,B,-90,dc 5.5mm
J9,PinSocket_1x02_P1.27mm_Vertical,,163.104548,-71.48782,,,,,B,0,fan2
L1,L_Chilisin_BMRA00040420,,182.3212,-105.2534,,,,,B,-90,15uH
L2,L_Chilisin_BMRA00040420,,182.372,-88.337,,,,,B,-90,15uH
L3,L_Chilisin_BMRA00040420,,179.23204,-117.87614,,,,,B,0,1uH
L4,L_Chilisin_BMRA00040420,,179.20664,-126.79154,,,,,B,180,2uH
R1,R_0402_1005Metric,,175.3782,-100.959,,,,,B,-90,220k
R2,R_0402_1005Metric,,176.403,-100.963,,,,,B,90,43.2K
R3,R_0402_1005Metric,,175.02272,-102.4382,,,,,B,180,143K
R4,R_0402_1005Metric,,175.0294,-108.8644,,,,,B,180,51.1R
R5,R_0402_1005Metric,,175.0314,-107.8484,,,,,B,0,100k
R6,R_0402_1005Metric,,175.0314,-106.8324,,,,,B,180,19.1K
R7,R_0402_1005Metric,,175.02272,-104.4194,,,,,B,180,3.74K
R8,R_0402_1005Metric,,175.429,-84.0426,,,,,B,-90,220k
R9,R_0402_1005Metric,,176.4538,-84.0466,,,,,B,90,43.2K
R10,R_0402_1005Metric,,175.07352,-85.5218,,,,,B,180,143K
R11,R_0402_1005Metric,,175.07352,-87.503,,,,,B,180,3.74K
R12,R_0402_1005Metric,,175.0802,-91.948,,,,,B,180,51.1R
R13,R_0402_1005Metric,,175.0822,-90.932,,,,,B,0,100k
R14,R_0402_1005Metric,,175.0822,-89.916,,,,,B,180,19.1K
R15,R_0402_1005Metric,,183.65724,-116.51004,,,,,B,90,100k
R16,R_0402_1005Metric,,182.64124,-116.51004,,,,,B,-90,43k
R17,R_0402_1005Metric,,183.65724,-119.25324,,,,,B,90,600K
R18,R_0402_1005Metric,,182.64124,-119.25324,,,,,B,-90,712K
R19,R_0402_1005Metric,,183.63184,-125.42544,,,,,B,-90,600K
R20,R_0402_1005Metric,,182.61584,-125.42544,,,,,B,90,140K
R21,R_0402_1005Metric,,183.63184,-128.16864,,,,,B,-90,100k
R22,R_0402_1005Metric,,182.61584,-128.16864,,,,,B,90,43k
U1,TPS54335ADRCR,,177.9778,-103.9114,,,,,B,180,TPS54335A
U2,TPS54335ADRCR,,178.0286,-86.995,,,,,B,180,TPS54335A
U3,SOT-23-8,,181.70144,-122.32664,,,,,B,90,~
C21,C_0402_1005Metric,,124.0739,-95.43542,,,,,T,0,1uF
C22,C_0603_1608Metric,,110.93958,-88.84158,,,,,T,0,33pF
C23,C_0603_1608Metric,,110.95228,-90.35796,,,,,T,0,100nF
C24,C_0603_1608Metric,,118.1862,-85.23372,,,,,T,-90,100nF
